stt,Vaccine,TR1,TR2,TR3,TR4,TR5,TR6,PRC1,PRC2,PRC3,PRC4,PRC5,PRC6,PV1,PV2,PV3,PV4,PV5,PV6,SO1,SO2,SO3,SN1,SN2,SN3,INT1,INT2,INT3,GENDER,AGE,JOB,EDU,INCOME,,,,,,,
145,2,4,4,4,5,3,5,5,5,5,4,3,3,5,4,5,5,5,5,3,4,5,4,3,4,5,5,5,0,1,1,2,2,,,,,,,
146,1,3,4,3,4,3,2,5,5,5,5,5,5,3,3,5,4,3,5,3,4,3,1,1,1,4,3,2,1,1,1,2,2,,,,,,,
147,1,5,5,4,4,4,4,5,5,3,5,2,2,4,4,5,5,5,5,3,4,4,4,5,3,5,5,5,0,2,5,3,1,,,,,,,
148,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
149,1,3,3,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,1,1,2,2,,,,,,,
150,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,,,,,,,
151,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
152,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,,,,,,,
153,1,5,4,5,5,3,3,5,5,4,5,5,5,4,3,4,5,5,4,4,4,4,5,4,5,4,4,4,1,1,1,2,2,,,,,,,
154,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
155,1,5,4,3,4,3,4,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,5,5,5,4,3,3,0,1,1,2,2,,,,,,,
156,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,,,,,,,
157,1,4,2,2,4,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,1,1,1,2,2,,,,,,,
158,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
159,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,,,,,,,
160,1,4,4,4,5,5,4,5,5,3,5,4,5,4,5,5,4,4,4,3,4,5,4,4,1,1,3,3,1,1,1,1,2,,,,,,,
161,2,5,3,3,4,3,5,5,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
162,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,2,4,,,,,,,
163,1,4,4,4,4,4,4,5,5,4,5,3,4,4,5,5,5,5,5,4,4,4,3,3,4,5,5,5,0,1,5,2,2,,,,,,,
164,1,4,3,3,3,2,5,1,2,4,4,2,3,4,5,5,4,5,5,5,3,4,4,3,3,4,3,5,1,1,5,2,2,,,,,,,
165,1,5,3,2,5,5,4,5,5,5,5,5,3,3,3,5,5,5,5,5,5,4,3,3,3,5,4,5,1,1,5,2,2,,,,,,,
166,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,,
167,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,4,,,,,,,
168,1,4,3,5,4,4,5,3,4,5,5,3,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,1,1,3,3,4,,,,,,,
169,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,0,1,1,2,2,,,,,,,
170,1,5,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,2,2,,,,,,,
171,1,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,3,3,4,3,3,3,2,4,3,1,1,5,2,2,,,,,,,
172,2,5,5,5,5,4,5,4,3,5,4,3,4,3,4,3,3,4,4,5,5,4,5,3,5,3,4,4,1,1,1,2,2,,,,,,,
173,1,4,4,3,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5,5,4,4,4,5,4,4,4,0,1,1,2,2,,,,,,,
174,1,4,4,5,5,4,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,5,5,1,1,1,2,2,,,,,,,
